# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
1.414353030000000018e-02,2.721037673949999913e+01,3.508519036335288610e-01,3.547108701214507498e-01
2.227042619999999862e-02,2.757302856449999950e+01,2.385919293884506964e-01,2.634646376661330947e-01
1.799360659999999987e-02,2.784195709229999949e+01,1.837650294321637734e-01,1.709461075249315010e-01
1.765719430000000159e-02,2.810231018070000175e+01,1.546706112146037926e-01,7.121262034741104863e-02
1.877806890000000006e-02,2.837047576899999868e+01,1.525414470996558358e-01,-3.553953799153912463e-02
2.035596040000000120e-02,2.865696907039999886e+01,1.819292266043128770e-01,-1.456736454931464309e-01
2.610138990000000075e-02,2.893702507020000070e+01,2.410070492327069935e-01,-2.398880651100377126e-01
3.194835780000000042e-02,2.920499610899999965e+01,3.211675458892907509e-01,-3.107057912822303036e-01
3.395409139999999715e-02,2.956860923769999872e+01,4.536049289224840519e-01,-3.696186863728321281e-01
3.479706500000000202e-02,2.987052345280000054e+01,5.737286424254280925e-01,-3.801411203312900500e-01
3.921335189999999860e-02,3.021121597289999983e+01,7.072946545449900757e-01,-3.460319828760081151e-01
4.208404939999999678e-02,3.060097885129999895e+01,8.358787289485525296e-01,-2.561358907934233597e-01
4.186783730000000203e-02,3.096512985229999870e+01,9.165369259487061715e-01,-1.360301052373780184e-01
4.303577539999999674e-02,3.128463935850000155e+01,9.479341058730810232e-01,-1.159238588926485639e-02
4.334516819999999909e-02,3.143398475649999924e+01,9.487295715647042771e-01,4.837830231956738447e-02
4.070210829999999780e-02,3.146970367429999982e+01,9.477605429287619954e-01,6.011547928067347002e-02
4.095049569999999889e-02,3.146922683720000080e+01,9.477635773439208045e-01,6.016100518989819096e-02
4.908278580000000058e-02,3.145462989809999854e+01,9.477973330339696245e-01,6.205406976917320072e-02
8.230300249999999984e-02,3.145339584350000095e+01,9.452726075653771209e-01,9.301002493558160888e-02
1.592788546999999999e-01,3.145306968690000105e+01,9.353465112853140973e-01,1.652979845994551611e-01
2.720134257999999861e-01,3.146664619450000089e+01,9.091263993636937712e-01,2.746331459683750698e-01
